year,month,day,nao_index_cdas
1950,7,19,-0.6679032235856979
1950,7,20,-0.6679032235856979
1950,7,21,-0.6679032235856979
1950,7,22,-0.6679032235856979
1950,7,23,-0.6679032235856979
1950,7,24,-0.6679032235856979
1950,7,25,-0.6679032235856979
1950,7,26,-0.6679032235856979
1950,7,27,-0.6679032235856979
1950,7,28,-0.6679032235856979
1950,7,29,-0.6679032235856979
1950,7,30,-0.6679032235856979
1950,7,31,-0.6679032235856979
1950,8,1,-0.0746129031984075
1950,8,2,-0.0746129031984075
1950,8,3,-0.0746129031984075
1950,8,4,-0.0746129031984075
1950,8,5,-0.0746129031984075
1950,8,6,-0.0746129031984075
1950,8,7,-0.0746129031984075
1950,8,8,-0.0746129031984075
1950,8,9,-0.0746129031984075
1950,8,10,-0.0746129031984075
1950,8,11,-0.0746129031984075
1950,8,12,-0.0746129031984075
1950,8,13,-0.0746129031984075
1950,8,14,-0.0746129031984075
1950,8,15,-0.0746129031984075
1950,8,16,-0.0746129031984075
1950,8,17,-0.0746129031984075
1950,8,18,-0.0746129031984075
1950,8,19,-0.0746129031984075
1950,8,20,-0.0746129031984075
1950,8,21,-0.0746129031984075
1950,8,22,-0.0746129031984075
1950,8,23,-0.0746129031984075
1950,8,24,-0.0746129031984075
1950,8,25,-0.0746129031984075
1950,8,26,-0.0746129031984075
1950,8,27,-0.0746129031984075
1950,8,28,-0.0746129031984075
1950,8,29,-0.0746129031984075
1950,8,30,-0.0746129031984075
1950,8,31,-0.0746129031984075
1950,9,1,0.1317000014086564
1950,9,2,0.1317000014086564
1950,9,3,0.1317000014086564
1950,9,4,0.1317000014086564
1950,9,5,0.1317000014086564
1950,9,6,0.1317000014086564
1950,9,7,0.1317000014086564
1950,9,8,0.1317000014086564
1950,9,9,0.1317000014086564
1950,9,10,0.1317000014086564
1950,9,11,0.1317000014086564
1950,9,12,0.1317000014086564
1950,9,13,0.1317000014086564
1950,9,14,0.1317000014086564
1950,9,15,0.1317000014086564
1950,9,16,0.1317000014086564
1950,9,17,0.1317000014086564
1950,9,18,0.1317000014086564
1950,9,19,0.1317000014086564
1950,9,20,0.1317000014086564
1950,9,21,0.1317000014086564
1950,9,22,0.1317000014086564
1950,9,23,0.1317000014086564
1950,9,24,0.1317000014086564
1950,9,25,0.1317000014086564
1950,9,26,0.1317000014086564
1950,9,27,0.1317000014086564
1950,9,28,0.1317000014086564
1950,9,29,0.1317000014086564
1950,9,30,0.1317000014086564
1950,10,1,0.3943548402298362
1950,10,2,0.3943548402298362
1950,10,3,0.3943548402298362
1950,10,4,0.3943548402298362
1950,10,5,0.3943548402298362
1950,10,6,0.3943548402298362
1950,10,7,0.3943548402298362
1950,10,8,0.3943548402298362
1950,10,9,0.3943548402298362
1950,10,10,0.3943548402298362
1950,10,11,0.3943548402298362
1950,10,12,0.3943548402298362
1950,10,13,0.3943548402298362
1950,10,14,0.3943548402298362
1950,10,15,0.3943548402298362
1950,10,16,0.3943548402298362
1950,10,17,0.3943548402298362
1950,10,18,0.3943548402298362
1950,10,19,0.3943548402298362
1950,10,20,0.3943548402298362
1950,10,21,0.3943548402298362
1950,10,22,0.3943548402298362
1950,10,23,0.3943548402298362
1950,10,24,0.3943548402298362
1950,10,25,0.3943548402298362
1950,10,26,0.3943548402298362
1950,10,27,0.3943548402298362
1950,10,28,0.3943548402298362
1950,10,29,0.3943548402298362
1950,10,30,0.3943548402298362
1950,10,31,0.3943548402298362
1950,11,1,-0.5515666661163171
1950,11,2,-0.5515666661163171
1950,11,3,-0.5515666661163171
1950,11,4,-0.5515666661163171
1950,11,5,-0.5515666661163171
1950,11,6,-0.5515666661163171
1950,11,7,-0.5515666661163171
1950,11,8,-0.5515666661163171
1950,11,9,-0.5515666661163171
1950,11,10,-0.5515666661163171
1950,11,11,-0.5515666661163171
1950,11,12,-0.5515666661163171
1950,11,13,-0.5515666661163171
1950,11,14,-0.5515666661163171
1950,11,15,-0.5515666661163171
1950,11,16,-0.5515666661163171
1950,11,17,-0.5515666661163171
1950,11,18,-0.5515666661163171
1950,11,19,-0.5515666661163171
1950,11,20,-0.5515666661163171
1950,11,21,-0.5515666661163171
1950,11,22,-0.5515666661163171
1950,11,23,-0.5515666661163171
1950,11,24,-0.5515666661163171
1950,11,25,-0.5515666661163171
1950,11,26,-0.5515666661163171
1950,11,27,-0.5515666661163171
1950,11,28,-0.5515666661163171
1950,11,29,-0.5515666661163171
1950,11,30,-0.5515666661163171
1950,12,1,-0.5821935500378811
1950,12,2,-0.5821935500378811
1950,12,3,-0.5821935500378811
1950,12,4,-0.5821935500378811
1950,12,5,-0.5821935500378811
1950,12,6,-0.5821935500378811
1950,12,7,-0.5821935500378811
1950,12,8,-0.5821935500378811
1950,12,9,-0.5821935500378811
1950,12,10,-0.5821935500378811
1950,12,11,-0.5821935500378811
1950,12,12,-0.5821935500378811
1950,12,13,-0.5821935500378811
1950,12,14,-0.5821935500378811
1950,12,15,-0.5821935500378811
1950,12,16,-0.5821935500378811
1950,12,17,-0.5821935500378811
1950,12,18,-0.5821935500378811
1950,12,19,-0.5821935500378811
1950,12,20,-0.5821935500378811
1950,12,21,-0.5821935500378811
1950,12,22,-0.5821935500378811
1950,12,23,-0.5821935500378811
1950,12,24,-0.5821935500378811
1950,12,25,-0.5821935500378811
1950,12,26,-0.5821935500378811
1950,12,27,-0.5821935500378811
1950,12,28,-0.5821935500378811
1950,12,29,-0.5821935500378811
1950,12,30,-0.5821935500378811
1950,12,31,-0.5821935500378811
1951,1,1,0.0465161289959665
1951,1,2,0.0465161289959665
1951,1,3,0.0465161289959665
1951,1,4,0.0465161289959665
1951,1,5,0.0465161289959665
1951,1,6,0.0465161289959665
1951,1,7,0.0465161289959665
1951,1,8,0.0465161289959665
1951,1,9,0.0465161289959665
1951,1,10,0.0465161289959665
1951,1,11,0.0465161289959665
1951,1,12,0.0465161289959665
1951,1,13,0.0465161289959665
1951,1,14,0.0465161289959665
1951,1,15,0.0465161289959665
1951,1,16,0.0465161289959665
1951,1,17,0.0465161289959665
1951,1,18,0.0465161289959665
1951,1,19,0.0465161289959665
1951,1,20,0.0465161289959665
1951,1,21,0.0465161289959665
1951,1,22,0.0465161289959665
1951,1,23,0.0465161289959665
1951,1,24,0.0465161289959665
1951,1,25,0.0465161289959665
1951,1,26,0.0465161289959665
1951,1,27,0.0465161289959665
1951,1,28,0.0465161289959665
1951,1,29,0.0465161289959665
1951,1,30,0.0465161289959665
1951,1,31,0.0465161289959665
1951,2,1,0.5463571500731632
1951,2,2,0.5463571500731632
1951,2,3,0.5463571500731632
1951,2,4,0.5463571500731632
1951,2,5,0.5463571500731632
1951,2,6,0.5463571500731632
1951,2,7,0.5463571500731632
1951,2,8,0.5463571500731632
1951,2,9,0.5463571500731632
1951,2,10,0.5463571500731632
1951,2,11,0.5463571500731632
1951,2,12,0.5463571500731632
1951,2,13,0.5463571500731632
1951,2,14,0.5463571500731632
1951,2,15,0.5463571500731632
1951,2,16,0.5463571500731632
1951,2,17,0.5463571500731632
1951,2,18,0.5463571500731632
1951,2,19,0.5463571500731632
1951,2,20,0.5463571500731632
1951,2,21,0.5463571500731632
1951,2,22,0.5463571500731632
1951,2,23,0.5463571500731632
1951,2,24,0.5463571500731632
1951,2,25,0.5463571500731632
1951,2,26,0.5463571500731632
1951,2,27,0.5463571500731632
1951,2,28,0.5463571500731632
1951,3,1,-0.4207096823881711
1951,3,2,-0.4207096823881711
1951,3,3,-0.4207096823881711
1951,3,4,-0.4207096823881711
1951,3,5,-0.4207096823881711
1951,3,6,-0.4207096823881711
1951,3,7,-0.4207096823881711
1951,3,8,-0.4207096823881711
1951,3,9,-0.4207096823881711
1951,3,10,-0.4207096823881711
1951,3,11,-0.4207096823881711
1951,3,12,-0.4207096823881711
1951,3,13,-0.4207096823881711
1951,3,14,-0.4207096823881711
1951,3,15,-0.4207096823881711
1951,3,16,-0.4207096823881711
1951,3,17,-0.4207096823881711
1951,3,18,-0.4207096823881711
1951,3,19,-0.4207096823881711
1951,3,20,-0.4207096823881711
1951,3,21,-0.4207096823881711
1951,3,22,-0.4207096823881711
1951,3,23,-0.4207096823881711
1951,3,24,-0.4207096823881711
1951,3,25,-0.4207096823881711
1951,3,26,-0.4207096823881711
1951,3,27,-0.4207096823881711
1951,3,28,-0.4207096823881711
1951,3,29,-0.4207096823881711
1951,3,30,-0.4207096823881711
1951,3,31,-0.4207096823881711
1951,4,1,-0.1203999956448872
1951,4,2,-0.1203999956448872
1951,4,3,-0.1203999956448872
1951,4,4,-0.1203999956448872
1951,4,5,-0.1203999956448872
1951,4,6,-0.1203999956448872
1951,4,7,-0.1203999956448872
1951,4,8,-0.1203999956448872
1951,4,9,-0.1203999956448872
1951,4,10,-0.1203999956448872
1951,4,11,-0.1203999956448872
1951,4,12,-0.1203999956448872
1951,4,13,-0.1203999956448872
1951,4,14,-0.1203999956448872
1951,4,15,-0.1203999956448872
1951,4,16,-0.1203999956448872
1951,4,17,-0.1203999956448872
1951,4,18,-0.1203999956448872
1951,4,19,-0.1203999956448872
1951,4,20,-0.1203999956448872
1951,4,21,-0.1203999956448872
1951,4,22,-0.1203999956448872
1951,4,23,-0.1203999956448872
1951,4,24,-0.1203999956448872
1951,4,25,-0.1203999956448872
1951,4,26,-0.1203999956448872
1951,4,27,-0.1203999956448872
1951,4,28,-0.1203999956448872
1951,4,29,-0.1203999956448872
1951,4,30,-0.1203999956448872
1951,5,1,-0.212483866801185
1951,5,2,-0.212483866801185
1951,5,3,-0.212483866801185
1951,5,4,-0.212483866801185
1951,5,5,-0.212483866801185
1951,5,6,-0.212483866801185
1951,5,7,-0.212483866801185
1951,5,8,-0.212483866801185
1951,5,9,-0.212483866801185
1951,5,10,-0.212483866801185
1951,5,11,-0.212483866801185
1951,5,12,-0.212483866801185
1951,5,13,-0.212483866801185
1951,5,14,-0.212483866801185
1951,5,15,-0.212483866801185
1951,5,16,-0.212483866801185
1951,5,17,-0.212483866801185
1951,5,18,-0.212483866801185
1951,5,19,-0.212483866801185
1951,5,20,-0.212483866801185
1951,5,21,-0.212483866801185
1951,5,22,-0.212483866801185
1951,5,23,-0.212483866801185
1951,5,24,-0.212483866801185
1951,5,25,-0.212483866801185
1951,5,26,-0.212483866801185
1951,5,27,-0.212483866801185
1951,5,28,-0.212483866801185
1951,5,29,-0.212483866801185
1951,5,30,-0.212483866801185
1951,5,31,-0.212483866801185
1951,6,1,-0.8349666684865952
1951,6,2,-0.8349666684865952
1951,6,3,-0.8349666684865952
1951,6,4,-0.8349666684865952
1951,6,5,-0.8349666684865952
1951,6,6,-0.8349666684865952
1951,6,7,-0.8349666684865952
1951,6,8,-0.8349666684865952
1951,6,9,-0.8349666684865952
1951,6,10,-0.8349666684865952
1951,6,11,-0.8349666684865952
1951,6,12,-0.8349666684865952
1951,6,13,-0.8349666684865952
1951,6,14,-0.8349666684865952
1951,6,15,-0.8349666684865952
1951,6,16,-0.8349666684865952
1951,6,17,-0.8349666684865952
1951,6,18,-0.8349666684865952
1951,6,19,-0.8349666684865952
1951,6,20,-0.8349666684865952
1951,6,21,-0.8349666684865952
1951,6,22,-0.8349666684865952
1951,6,23,-0.8349666684865952
1951,6,24,-0.8349666684865952
1951,6,25,-0.8349666684865952
1951,6,26,-0.8349666684865952
1951,6,27,-0.8349666684865952
1951,6,28,-0.8349666684865952
1951,6,29,-0.8349666684865952
1951,6,30,-0.8349666684865952
1951,7,1,0.6287741978322307
1951,7,2,0.6287741978322307
1951,7,3,0.6287741978322307
1951,7,4,0.6287741978322307
1951,7,5,0.6287741978322307
1951,7,6,0.6287741978322307
1951,7,7,0.6287741978322307
1951,7,8,0.6287741978322307
1951,7,9,0.6287741978322307
1951,7,10,0.6287741978322307
1951,7,11,0.6287741978322307
1951,7,12,0.6287741978322307
1951,7,13,0.6287741978322307
1951,7,14,0.6287741978322307
1951,7,15,0.6287741978322307
1951,7,16,0.6287741978322307
1951,7,17,0.6287741978322307
1951,7,18,0.6287741978322307
1951,7,19,0.6287741978322307
1951,7,20,0.6287741978322307
1951,7,21,0.6287741978322307
1951,7,22,0.6287741978322307
1951,7,23,0.6287741978322307
1951,7,24,0.6287741978322307
1951,7,25,0.6287741978322307
1951,7,26,0.6287741978322307
1951,7,27,0.6287741978322307
1951,7,28,0.6287741978322307
1951,7,29,0.6287741978322307
1951,7,30,0.6287741978322307
1951,7,31,0.6287741978322307
1951,8,1,-0.1719677420633454
1951,8,2,-0.1719677420633454
1951,8,3,-0.1719677420633454
1951,8,4,-0.1719677420633454
1951,8,5,-0.1719677420633454
1951,8,6,-0.1719677420633454
1951,8,7,-0.1719677420633454
1951,8,8,-0.1719677420633454
1951,8,9,-0.1719677420633454
1951,8,10,-0.1719677420633454
1951,8,11,-0.1719677420633454
1951,8,12,-0.1719677420633454
1951,8,13,-0.1719677420633454
1951,8,14,-0.1719677420633454
1951,8,15,-0.1719677420633454
1951,8,16,-0.1719677420633454
1951,8,17,-0.1719677420633454
1951,8,18,-0.1719677420633454
1951,8,19,-0.1719677420633454
1951,8,20,-0.1719677420633454
1951,8,21,-0.1719677420633454
1951,8,22,-0.1719677420633454
1951,8,23,-0.1719677420633454
1951,8,24,-0.1719677420633454
1951,8,25,-0.1719677420633454
1951,8,26,-0.1719677420633454
1951,8,27,-0.1719677420633454
1951,8,28,-0.1719677420633454
1951,8,29,-0.1719677420633454
1951,8,30,-0.1719677420633454
1951,8,31,-0.1719677420633454
1951,9,1,-0.5603999989146057
1951,9,2,-0.5603999989146057
1951,9,3,-0.5603999989146057
1951,9,4,-0.5603999989146057
1951,9,5,-0.5603999989146057
1951,9,6,-0.5603999989146057
1951,9,7,-0.5603999989146057
1951,9,8,-0.5603999989146057
1951,9,9,-0.5603999989146057
1951,9,10,-0.5603999989146057
1951,9,11,-0.5603999989146057
1951,9,12,-0.5603999989146057
1951,9,13,-0.5603999989146057
1951,9,14,-0.5603999989146057
1951,9,15,-0.5603999989146057
1951,9,16,-0.5603999989146057
1951,9,17,-0.5603999989146057
1951,9,18,-0.5603999989146057
1951,9,19,-0.5603999989146057
1951,9,20,-0.5603999989146057
1951,9,21,-0.5603999989146057
1951,9,22,-0.5603999989146057
1951,9,23,-0.5603999989146057
1951,9,24,-0.5603999989146057
1951,9,25,-0.5603999989146057
1951,9,26,-0.5603999989146057
1951,9,27,-0.5603999989146057
1951,9,28,-0.5603999989146057
1951,9,29,-0.5603999989146057
1951,9,30,-0.5603999989146057
1951,10,1,0.8688709656557729
1951,10,2,0.8688709656557729
1951,10,3,0.8688709656557729
1951,10,4,0.8688709656557729
1951,10,5,0.8688709656557729
1951,10,6,0.8688709656557729
1951,10,7,0.8688709656557729
1951,10,8,0.8688709656557729
1951,10,9,0.8688709656557729
1951,10,10,0.8688709656557729
1951,10,11,0.8688709656557729
1951,10,12,0.8688709656557729
1951,10,13,0.8688709656557729
1951,10,14,0.8688709656557729
1951,10,15,0.8688709656557729
1951,10,16,0.8688709656557729
1951,10,17,0.8688709656557729
1951,10,18,0.8688709656557729
1951,10,19,0.8688709656557729
1951,10,20,0.8688709656557729
1951,10,21,0.8688709656557729
1951,10,22,0.8688709656557729
1951,10,23,0.8688709656557729
1951,10,24,0.8688709656557729
1951,10,25,0.8688709656557729
1951,10,26,0.8688709656557729
1951,10,27,0.8688709656557729
1951,10,28,0.8688709656557729
1951,10,29,0.8688709656557729
1951,10,30,0.8688709656557729
1951,10,31,0.8688709656557729
1951,11,1,-0.1466333393007516
1951,11,2,-0.1466333393007516
1951,11,3,-0.1466333393007516
1951,11,4,-0.1466333393007516
1951,11,5,-0.1466333393007516
1951,11,6,-0.1466333393007516
1951,11,7,-0.1466333393007516
1951,11,8,-0.1466333393007516
1951,11,9,-0.1466333393007516
1951,11,10,-0.1466333393007516
1951,11,11,-0.1466333393007516
1951,11,12,-0.1466333393007516
1951,11,13,-0.1466333393007516
1951,11,14,-0.1466333393007516
1951,11,15,-0.1466333393007516
1951,11,16,-0.1466333393007516
1951,11,17,-0.1466333393007516
1951,11,18,-0.1466333393007516
1951,11,19,-0.1466333393007516
1951,11,20,-0.1466333393007516
1951,11,21,-0.1466333393007516
1951,11,22,-0.1466333393007516
1951,11,23,-0.1466333393007516
1951,11,24,-0.1466333393007516
1951,11,25,-0.1466333393007516
1951,11,26,-0.1466333393007516
1951,11,27,-0.1466333393007516
1951,11,28,-0.1466333393007516
1951,11,29,-0.1466333393007516
1951,11,30,-0.1466333393007516
1951,12,1,0.6909032300595315
1951,12,2,0.6909032300595315
1951,12,3,0.6909032300595315
1951,12,4,0.6909032300595315
1951,12,5,0.6909032300595315
1951,12,6,0.6909032300595315
1951,12,7,0.6909032300595315
1951,12,8,0.6909032300595315
1951,12,9,0.6909032300595315
1951,12,10,0.6909032300595315
1951,12,11,0.6909032300595315
1951,12,12,0.6909032300595315
1951,12,13,0.6909032300595315
1951,12,14,0.6909032300595315
1951,12,15,0.6909032300595315
1951,12,16,0.6909032300595315
1951,12,17,0.6909032300595315
1951,12,18,0.6909032300595315
1951,12,19,0.6909032300595315
1951,12,20,0.6909032300595315
1951,12,21,0.6909032300595315
1951,12,22,0.6909032300595315
1951,12,23,0.6909032300595315
1951,12,24,0.6909032300595315
1951,12,25,0.6909032300595315
1951,12,26,0.6909032300595315
1951,12,27,0.6909032300595315
1951,12,28,0.6909032300595315
1951,12,29,0.6909032300595315
1951,12,30,0.6909032300595315
1951,12,31,0.6909032300595315
1952,1,1,0.542645170916653
1952,1,2,0.542645170916653
1952,1,3,0.542645170916653
1952,1,4,0.542645170916653
1952,1,5,0.542645170916653
1952,1,6,0.542645170916653
1952,1,7,0.542645170916653
1952,1,8,0.542645170916653
1952,1,9,0.542645170916653
1952,1,10,0.542645170916653
1952,1,11,0.542645170916653
1952,1,12,0.542645170916653
1952,1,13,0.542645170916653
1952,1,14,0.542645170916653
1952,1,15,0.542645170916653
1952,1,16,0.542645170916653
1952,1,17,0.542645170916653
1952,1,18,0.542645170916653
1952,1,19,0.542645170916653
1952,1,20,0.542645170916653
1952,1,21,0.542645170916653
1952,1,22,0.542645170916653
1952,1,23,0.542645170916653
1952,1,24,0.542645170916653
1952,1,25,0.542645170916653
1952,1,26,0.542645170916653
1952,1,27,0.542645170916653
1952,1,28,0.542645170916653
1952,1,29,0.542645170916653
1952,1,30,0.542645170916653
1952,1,31,0.542645170916653
1952,2,1,-0.1779999948781112
1952,2,2,-0.1779999948781112
1952,2,3,-0.1779999948781112
1952,2,4,-0.1779999948781112
1952,2,5,-0.1779999948781112
1952,2,6,-0.1779999948781112
1952,2,7,-0.1779999948781112
1952,2,8,-0.1779999948781112
1952,2,9,-0.1779999948781112
1952,2,10,-0.1779999948781112
1952,2,11,-0.1779999948781112
1952,2,12,-0.1779999948781112
1952,2,13,-0.1779999948781112
1952,2,14,-0.1779999948781112
1952,2,15,-0.1779999948781112
1952,2,16,-0.1779999948781112
1952,2,17,-0.1779999948781112
1952,2,18,-0.1779999948781112
1952,2,19,-0.1779999948781112
1952,2,20,-0.1779999948781112
1952,2,21,-0.1779999948781112
1952,2,22,-0.1779999948781112
1952,2,23,-0.1779999948781112
1952,2,24,-0.1779999948781112
1952,2,25,-0.1779999948781112
1952,2,26,-0.1779999948781112
1952,2,27,-0.1779999948781112
1952,2,28,-0.1779999948781112
1952,2,29,-0.1779999948781112
1952,3,1,-0.6082580716259056
1952,3,2,-0.6082580716259056
1952,3,3,-0.6082580716259056
1952,3,4,-0.6082580716259056
1952,3,5,-0.6082580716259056
1952,3,6,-0.6082580716259056
1952,3,7,-0.6082580716259056
1952,3,8,-0.6082580716259056
1952,3,9,-0.6082580716259056
1952,3,10,-0.6082580716259056
1952,3,11,-0.6082580716259056
1952,3,12,-0.6082580716259056
1952,3,13,-0.6082580716259056
1952,3,14,-0.6082580716259056
1952,3,15,-0.6082580716259056
1952,3,16,-0.6082580716259056
1952,3,17,-0.6082580716259056
1952,3,18,-0.6082580716259056
1952,3,19,-0.6082580716259056
1952,3,20,-0.6082580716259056
1952,3,21,-0.6082580716259056
1952,3,22,-0.6082580716259056
1952,3,23,-0.6082580716259056
1952,3,24,-0.6082580716259056
1952,3,25,-0.6082580716259056
1952,3,26,-0.6082580716259056
1952,3,27,-0.6082580716259056
1952,3,28,-0.6082580716259056
1952,3,29,-0.6082580716259056
1952,3,30,-0.6082580716259056
1952,3,31,-0.6082580716259056
1952,4,1,0.3373666639750202
1952,4,2,0.3373666639750202
1952,4,3,0.3373666639750202
1952,4,4,0.3373666639750202
1952,4,5,0.3373666639750202
1952,4,6,0.3373666639750202
1952,4,7,0.3373666639750202
1952,4,8,0.3373666639750202
1952,4,9,0.3373666639750202
1952,4,10,0.3373666639750202
1952,4,11,0.3373666639750202
1952,4,12,0.3373666639750202
1952,4,13,0.3373666639750202
1952,4,14,0.3373666639750202
1952,4,15,0.3373666639750202
1952,4,16,0.3373666639750202
1952,4,17,0.3373666639750202
1952,4,18,0.3373666639750202
1952,4,19,0.3373666639750202
1952,4,20,0.3373666639750202
1952,4,21,0.3373666639750202
1952,4,22,0.3373666639750202
1952,4,23,0.3373666639750202
1952,4,24,0.3373666639750202
1952,4,25,0.3373666639750202
1952,4,26,0.3373666639750202
1952,4,27,0.3373666639750202
